X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER
2033844.64794965,766964.522693291,1446608,061DBBC8-951E-4450-FE2D44BF5214156E,NET APP CAFE BLDG3,7301 KIT CREEK RD ,MORRISVILLE,NC,27560,35.85727617,-78.88578455,19194765671
2100757.17915057,742617.103868544,1446609,062A6A30-E1F1-135E-559A847185DBD6FB,SUGARLAND,2031 CAMERON ST ,RALEIGH,NC,27605,35.7899673,-78.66025735,19198352100
2046124.2346109,717321.782412052,1446610,065B70C3-5056-A20B-FA23A6C8033B0DD7,HWY 55 OF APEX,802 PERRY RD ,APEX,NC,27502,35.7208474,-78.84460695,19193033533
2110965.96385106,719430.063300461,1446611,011A703F-D8CE-C53D-62B3073DF4809ED4,GROCERY BOY JR,1912 W GARNER RD ,RALEIGH,NC,27529,35.72616468,-78.62612916,19197725018
2156771.16817223,788702.596999213,1446612,011EC6C8-EDD1-F08B-9F20505CA13E6374,FITZGERALD'S SEAFOOD RESTAURANT #1,308 SOUTHTOWN DR ,ROLESVILLE,NC,27571,35.9159,-78.47055821,19195623474
2111791.47499532,781069.552882135,1446613,0437B855-D417-62F4-46391C43BC92F92A,Antonio's Gourmet Market & Papas,8460-112 HONEYCUTT RD ,RALEIGH,NC,27615,35.89549529,-78.62255822,111111919887
2049643.45132573,686080.788791791,1446614,06CE930F-1422-201B-19E1DA19BBC31B7C,Michelangelos,7280 GB Alford  HWY ,HOLLY SPRINGS,NC,27540,35.63500069,-78.83292783,19195574992
2138197.0603074,800302.03738296,1446615,079E6726-EAF9-7770-92537BA708A7D696,Mackey's Pub,2101 S Main  ST ,WAKE FOREST ,NC,27587,35.94802112,-78.53310077,19195625570
2075506.31659465,733599.487389386,1446616,07AF62B1-CFE4-B82A-57CE42A324E9E64E,POLAR ICE HOUSE,1410 BUCK JONES RD ,RALEIGH,NC,27606,35.76540093,-78.74547814,19194602756
2065066.93524247,723733.310271382,1446617,082054EE-036C-19FC-4F864F10D111D508,TGI Friday's,2002 Kildaire Farm RD ,CARY,NC,27511,35.73836384,-78.78074125,19192338883
2058554.59393647,756521.414970636,1446618,085BF69A-3048-983B-2641CA581B73E5BF,FLIK INTERNATIONAL AT FIDELITY,11000 WESTON PKY ,CARY,NC,27513,35.82847987,-78.80246624,19194589264
2101961.02582423,739200.824939966,1446619,087D3E93-D57B-FAA4-E8C47A3916C49EDA,The Grille At Goodnight's & Goodnight's Comedy Club,861 W Morgan ST ,RALEIGH,NC,27603,35.78057044,-78.65623803,111111111111111
2104495.00139931,775653.566010714,1446620,08A5D2BA-3048-9838-FC96F889B762BA98,Rush Lounge,7361 SIX FORKS RD ,RALEIGH,NC,27615,35.88069032,-78.64725808,19198484782
2142537.9748539,731449.150482714,1446621,08B080BE-95E8-63F4-3A3FB5E8F57CEE9F,Carillon Assisted Living of Knightdale Dining,2408  HODGE RD ,KNIGHTDALE,NC,27545,35.75881159,-78.519561,19192666676
2065940.84786473,724253.602865964,1446622,05F4A2BC-9EA6-C527-77B0AB8B1405469E,FRESCA CAFE' AND GELATO,302 COLONADES  WAY ,RALEIGH,NC,27518,35.73978792,-78.77779248,19198518171
2136129.30033532,773927.585538805,1446623,06051288-0BE6-6884-8493B3CB6CA929B8,China Wok,7440-143 Louisburg RD ,RALEIGH,NC,27616,35.87559319,-78.54049905,19198629898
